CODFILIAL;CODPROD;DESCRICAO;CODFORNEC;FORNECEDOR;EMBALAGEM;QTESTGER;QTINDENIZ;QTRESERV;QTPENDENTE;CUSTOULTENT;PVENDA;QTBLOQUEADA;QT_DISP
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;540G;1509;12;156;60;2,86988;4,5;12;1269
1;2455;MOLICO IOGURTE LIQ BAUN 24X170G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;556;0;60;12;1,724823;2,1498;0;484
1;1885;CHAMYTO IOGURTE LIQ PROTEINA 12X850G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;850G;0;0;0;0;6,968983;10;0;0
1;1886;CHAMYTO IOGURTE LIQ PROTEINA 24X170G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;0;0;0;0;1,876619;2,75;0;0
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;405;0;159;24;1,36626;2,15;0;222
1;1940;NESTLE GREGO TORTA MARACUJA 24X90G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;255;0;82;24;1,36626;2,15;0;149
1;1941;NESTLE GREGO TRADICIONAL 24X90G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;242;0;129;24;1,36626;2,15;0;89
1;1942;CHAMYTO IOGURTE PROTEINA TURBO 24X100G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;100G;0;0;0;0;1,379358;2;0;0
1;2099;MOLICO IOGURTE LIQ MRG 12X850G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;850G;133;0;60;0;7,189961;8,9;0;73
1;2100;MOLICO IOGURTE LIQ MRG 24X170G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;154;0;60;12;1,724823;2,15;0;82
1;2037;NESFIT IOGURTE FRUTAS VERM 12X850G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;850G;321;0;69;0;7,313319;10,35;0;252
1;2038;NESFIT IOGURTE MORANGO BAUN 12X850G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;850G;167;0;57;0;7,313319;10,35;0;110
1;2039;NESFIT IOGURTE MARACUJA AVEIA 12X850G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;850G;276;0;69;0;7,313319;10,35;0;207
1;2040;NESFIT IOGURTE FRUTAS VERMELHAS 24X170G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;464;0;72;0;1,932267;2,8;0;392
1;2041;NESFIT IOGURTE MARACUJA AVEIA 24X170G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;501;0;78;0;1,932267;2,8;0;423
1;1963;NESTLE GREGO TORTA LIMAO 24X90G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;316;0;75;24;1,36626;2,15;0;217
1;2347;CHAMBINHO PETIT MRG 64X80G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;64X80G;0;0;0;0;0,919992;1,9;0;0
1;2664;MOLICO IOGURTE LIQ BAUN 12X850G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;850G;283;0;48;0;7,189961;8,9006;0;235
1;2721;NESFIT IOGURTE POLPA MARACUJA 12X360G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;360G;22;0;0;0;4,147977;5,7595;0;22
1;2722;NESFIT IOGURTE POLPA FRUTAS VERM12X360G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;360G;54;0;0;0;4,147977;5,7595;0;54
1;2723;NESFIT IOGURTE POLPA MORANGO BAUN 6X720G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;720G;27;0;12;0;8,295952;11,518;0;15
